ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue
264660,Ex Machina,2015,5,2016-03-25,False,3.8,9368,108,Drama|Science Fiction,15000000.0,36869414.0
1598,Cape Fear,1991,3,2016-03-26,False,3.65,1907,128,Thriller|Crime,35000000.0,182300000.0
15472,Os Homens que não Amavam as Mulheres,2009,4,2016-03-31,False,3.8,1944,152,Drama|Thriller|Crime|Mystery,13000000.0,109421911.0
592,The Conversation,1974,4,2016-04-07,False,3.8,863,113,Crime|Drama|Mystery,1600000.0,4420000.0
333371,10 Cloverfield Lane,2016,5,2016-04-10,True,3.45,5394,104,Thriller|Science Fiction|Drama|Horror,15000000.0,108286421.0
1580,Rope,1949,5,2016-04-16,False,4.0,1486,81,Crime|Thriller,1500000.0,2200000.0
223,Rebecca,1940,4,2016-04-22,False,4.0,867,130,Drama|Mystery,1288000.0,6000000.0
278927,The Jungle Book,2016,5,2016-04-22,True,3.4,6140,106,Adventure|Drama|Family|Fantasy,175000000.0,966550600.0
376570,Hush,2016,4,2016-04-23,False,3.35,2931,82,Horror|Thriller,30000000.0,151866047.5
271110,Captain America 3: Civil War,2016,4,2016-04-28,True,3.7,16415,147,Adventure|Action|Science Fiction,250000000.0,1153296293.0
89,Indiana Jones and the Last Crusade,1989,4,2016-04-30,False,3.9,6541,127,Adventure|Action,48000000.0,474171806.0
924,Dawn of the Dead,2004,5,2016-05-01,False,3.45,2343,101,Fantasy|Horror|Action|Drama,28000000.0,102356381.0
49517,Tinker Tailor Soldier Spy,2011,4,2016-05-05,False,3.3,1662,127,Drama|Thriller|Mystery,30000000.0,80630608.0
307081,Southpaw,2015,5,2016-05-06,False,3.7,4017,123,Action|Drama,30000000.0,91709827.0
521,Dial M for Murder,1954,5,2016-05-09,False,4.0,1462,105,Crime|Thriller|Drama,1400000.0,3000000.0
207686,La casa del fin de los tiempos,2013,3,2016-05-14,False,3.25,156,101,Horror|Drama|Fantasy|Mystery|Thriller,30000000.0,151866047.5
612,Munich,2005,4,2016-05-17,False,3.55,1564,164,Drama|Action|History|Thriller,70000000.0,130358911.0
45317,The Fighter,2010,4,2016-05-19,False,3.7,2846,116,Drama,25000000.0,93617009.0
10633,In the Heat of the Night ,1967,4,2016-05-20,False,3.9,524,109,Crime|Drama|Mystery|Thriller,2000000.0,27379978.0
277216,Straight Outta Compton,2015,5,2016-05-22,False,3.85,2472,147,Drama|Music,28000000.0,201634991.0
158011,The Call,2013,3,2016-05-25,False,3.35,2063,94,Crime|Thriller,13000000.0,68572378.0
46738,Incendies,2010,4,2016-05-27,False,4.05,1337,130,Drama|War|Mystery,10000000.0,151866047.5
1246,Rocky Balboa,2006,4,2016-06-03,False,3.35,2146,102,Drama,24000000.0,155721132.0
195589,Neighbors,2014,4,2016-06-07,False,3.1,5223,96,Comedy,18000000.0,270665134.0
1091,The Thing,1982,5,2016-06-10,False,4.0,3904,109,Horror|Mystery|Science Fiction,15000000.0,19629760.0
9426,The Fly,1986,4,2016-06-11,False,3.65,2497,96,Horror|Science Fiction,15000000.0,60629159.0
