ID,Genres,Rating,Vote Average
11336,Thriller,4,3.5
11336,Horror,4,3.5
11336,SciFi,4,3.5
2252,Thriller,4,3.7
2252,Crime,4,3.7
2252,Mystery,4,3.7
153,Drama,4,3.7
153,Romance,4,3.7
153,Comedy,4,3.7
192,Drama,4,3.7
192,Thriller,4,3.7
192,Mystery,4,3.7
13475,SciFi,4,3.7
13475,Action,4,3.7
13475,Adventure,4,3.7
11206,Horror,5,3.7
11206,Crime,5,3.7
11206,Thriller,5,3.7
300669,Crime,5,3.45
300669,Horror,5,3.45
300669,Thriller,5,3.45
553,Crime,4,3.9
553,Drama,4,3.9
553,Thriller,4,3.9
283366,Drama,3,3.35
283366,Fantasy,3,3.35
283366,Adventure,3,3.35
283366,Family,3,3.35
45094,Drama,4,3.55
335796,Horror,3,3.0
335796,Thriller,3,3.0
12153,Comedy,3,3.4
12153,Crime,3,3.4
31011,SciFi,4,3.95
31011,Drama,4,3.95
31011,Romance,4,3.95
31011,Fantasy,4,3.95
333352,Drama,3,3.55
333352,Thriller,3,3.55
333352,War,3,3.55
284052,Action,4,3.7
284052,Adventure,4,3.7
284052,Fantasy,4,3.7
284052,SciFi,4,3.7
176,Horror,5,3.7
176,Mystery,5,3.7
176,Crime,5,3.7
650,Drama,4,3.75
54138,Action,3,3.65
54138,Adventure,3,3.65
54138,SciFi,3,3.65
671,Adventure,4,3.95
671,Fantasy,4,3.95
671,Family,4,3.95
672,Adventure,4,3.85
672,Fantasy,4,3.85
673,Adventure,5,4.0
673,Fantasy,5,4.0
674,Adventure,4,3.9
674,Fantasy,4,3.9
674,Family,4,3.9
259316,Adventure,4,3.7
259316,Family,4,3.7
259316,Fantasy,4,3.7
675,Adventure,4,3.85
675,Fantasy,4,3.85
675,Mystery,4,3.85
767,Adventure,4,3.85
767,Fantasy,4,3.85
12444,Adventure,4,3.9
12444,Fantasy,4,3.9
329865,Drama,4,3.75
329865,SciFi,4,3.75
329865,Mystery,4,3.75
12445,Fantasy,5,4.05
12445,Adventure,5,4.05
8681,Action,4,3.65
8681,Thriller,4,3.65
