ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue,Overview
50348,The Lincoln Lawyer,2011,3,2016-02-19,False,3.55,1910,119,Crime|Drama|Thriller,40000000,85412898,A lawyer conducts business from the back of his Lincoln town car while representing a high-profile client in Beverly Hills.
111083,El Cuerpo,2012,3,2016-02-21,False,3.8,716,108,Thriller|Mystery,0,0,"A woman’s body disappears mysteriously from the morgue without a trace. Police inspector Jaime Peña investigates the strange occurrence with the help of Álex Ulloa, the widower of the missing woman."
3432,Mr Brooks,2007,3,2016-02-26,False,3.45,1069,120,Drama|Crime|Mystery|Thriller,20000000,41637263,A psychological thriller about a man who is sometimes controlled by his murder-and-mayhem-loving alter ego.
85,Raiders of Lost Ark,1981,5,2016-02-27,False,3.95,8236,115,Adventure|Action,18000000,389925971,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."
197,Braveheart,1995,5,2016-02-27,False,3.95,6807,178,Action|Drama|History|War,72000000,210000000,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule."
3580,Changeling,2008,4,2016-02-29,False,3.8,2622,141,Crime|Drama|Mystery,55000000,113020255,"Christine Collins is overjoyed when her kidnapped son is brought back home. But when Christine suspects that the boy returned to her isn't her child, the police captain has her committed to an asylum."
10778,The Man Who Wasn't There,2001,5,2016-03-01,False,3.8,953,116,Crime|Thriller,20000000,0,"A tale of murder, crime and punishment set in the summer of 1949. Ed Crane, a barber in a small California town, is dissatisfied with his life, but his wife Doris' infidelity and a mysterious opportunity presents him with a chance to change it."
87,Indiana Jones and the Temple of Doom,1984,4,2016-03-04,False,3.65,6056,118,Adventure|Action,28000000,333000000,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace."
11096,Hide and Seek,2005,2,2016-03-05,False,3.15,1039,101,Horror|Mystery|Thriller,30000000,122650962,"David Callaway tries to piece together his life in the wake of his wife's suicide and has been left to raise his nine-year-old daughter, Emily on his own. David is at first amused to discover that Emily has created an imaginary friend named 'Charlie', but it isn't long before 'Charlie' develops a sinister and violent side, and as David struggles with his daughter's growing emotional problems, he comes to the frightening realisation that 'Charlie' isn't just a figment of Emily's imagination."
310131,The VVitch,2015,5,2016-03-06,True,3.35,4001,92,Mystery|Horror|Drama,3500000,40423945,"In 1630s New England, William and Katherine lead a devout Christian life with five children, homesteading on the edge of an impassable wilderness, exiled from their settlement when William defies the local church. When their newborn son vanishes and crops mysteriously fail, the family turns on one another."
55,Amore Perros,2000,3,2016-03-12,False,3.8,1402,154,Drama|Thriller,2000000,20908467,"A fatalistic car crash in Mexico City sets off a chain of events in the lives of three persons: a young man aching to run off with his sister-in-law, a supermodel, and a homeless man. Their lives are catapulted into unforeseen circumstances instigated by the seemingly inconsequential destiny of a dog."
228202,Meu Passado Me Condena,2013,1,2016-03-20,False,3.3,192,102,Comedy,0,0,"The immature and cheap douche bag Fábio Clóvis marries the pseudo-intellectual Miá and they travel in a cruise to Europe on board of a fancy passenger vessel. Fabio and Miá are invited to have dinner with the wealthy Beto Assunção and his gorgeous wife Laura in a VIP restaurant on the vessel. Soon Fábio discovers that Beto was Miá's boyfriend and Miá learns that Fábio had a crush on Laura that was his classmate. Meanwhile the cynical chamber maid Suzana Mello and her estranged husband, the entertainer Wilson, make a bet that Fábio and Miá will split before the end of the trip and poison their relationship. When the ship arrives in Casablanca, Fábio meets his bothersome childhood friend Cabeça that affects their honeymoon."
209112,Batman v Superman: Dawn of Justice,2016,3,2016-03-24,True,2.95,13735,151,Action|Adventure|Fantasy,250000000,873634919,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before."
264660,Ex Machina,2015,5,2016-03-25,False,3.8,9472,108,Drama|SciFi,15000000,36869414,"Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl."
1598,Cape Fear,1991,3,2016-03-26,False,3.65,1958,128,Thriller|Crime,35000000,182300000,"Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, bible-quoting, psychotic rapist. What do they have in common? Fourteen years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey, bibliophile Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss."
15472,Os Homens que não Amavam as Mulheres,2009,4,2016-03-31,False,3.8,1984,152,Drama|Thriller|Crime|Mystery,13000000,109421911,"Swedish thriller based on Stieg Larsson's novel about a male journalist and a young female hacker. In the opening of the movie, Mikael Blomkvist, a middle-aged publisher for the magazine Millennium, loses a libel case brought by corrupt Swedish industrialist Hans-Erik Wennerström. Nevertheless, he is hired by Henrik Vanger in order to solve a cold case, the disappearance of Vanger's niece"
592,The Conversation,1974,4,2016-04-07,False,3.8,894,113,Crime|Drama|Mystery,1600000,4420000,"Surveillance expert Harry Caul is hired by a mysterious client's brusque aide to tail a young couple. Tracking the pair through San Francisco's Union Square, Caul and his associate Stan manage to record a cryptic conversation between them. Tormented by memories of a previous case that ended badly, Caul becomes obsessed with the resulting tape, trying to determine if the couple are in danger."
333371,10 Cloverfield Lane,2016,5,2016-04-10,True,3.45,5497,104,Thriller|SciFi|Drama|Horror,15000000,108286421,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
1580,Rope,1949,5,2016-04-16,False,4.0,1520,81,Crime|Thriller,1500000,2200000,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.
223,Rebecca,1940,4,2016-04-22,False,3.95,897,130,Drama|Mystery,1288000,6000000,"Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house."
278927,The Jungle Book,2016,5,2016-04-22,True,3.4,6224,106,Adventure|Drama|Family|Fantasy,175000000,966550600,"A man-cub named Mowgli fostered by wolves. After a threat from the tiger Shere Khan, Mowgli is forced to flee the jungle, by which he embarks on a journey of self discovery with the help of the panther, Bagheera and the free-spirited bear, Baloo."
376570,Hush,2016,4,2016-04-23,False,3.35,2998,82,Horror|Thriller,0,0,A deaf woman is stalked by a psychotic killer in her secluded home.
271110,Captain America 3: Civil War,2016,4,2016-04-28,True,3.7,16640,147,Adventure|Action|SciFi,250000000,1153296293,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies."
89,Indiana Jones and the Last Crusade,1989,4,2016-04-30,False,3.9,6648,127,Adventure|Action,48000000,474171806,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life."
924,Dawn of the Dead,2004,5,2016-05-01,False,3.5,2406,101,Fantasy|Horror|Action|Drama,28000000,102356381,"A group of survivors take refuge in a shopping mall after the world is taken over by aggressive, flesh-eating zombies."
49517,Tinker Tailor Soldier Spy,2011,4,2016-05-05,False,3.3,1690,127,Drama|Thriller|Mystery,30000000,80630608,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet mole within his former colleagues at the heart of MI6."
307081,Southpaw,2015,5,2016-05-06,False,3.7,4099,123,Action|Drama,30000000,91709827,"Billy ""The Great"" Hope, the reigning junior middleweight boxing champion, has an impressive career, a loving wife and daughter, and a lavish lifestyle. However, when tragedy strikes, Billy hits rock bottom, losing his family, his house and his manager. He soon finds an unlikely savior in Tick Willis, a former fighter who trains the city's toughest amateur boxers. With his future on the line, Hope fights to reclaim the trust of those he loves the most."
521,Dial M for Murder,1954,5,2016-05-09,False,4.0,1511,105,Crime|Thriller,1400000,3000000,"An ex-tennis pro carries out a plot to have his wife murdered after discovering she is having an affair, and assumes she will soon leave him for the other man anyway. When things go wrong, he improvises a new plan—to frame her for murder instead."
207686,La casa del fin de los tiempos,2013,3,2016-05-14,False,3.3,171,101,Horror|Drama|Fantasy|Mystery|Thriller,0,0,"The story of Dulce, a mother who has encounters with apparitions inside her old house. She must decipher a mystery that could trigger a prophecy: the death of her family."
612,Munich,2005,4,2016-05-17,False,3.55,1593,164,Drama|Action|History|Thriller,70000000,130358911,"During the 1972 Olympic Games in Munich, eleven Israeli athletes are taken hostage and murdered by a Palestinian terrorist group known as Black September. In retaliation, the Israeli government recruits a group of Mossad agents to track down and execute those responsible for the attack."
45317,The Fighter,2010,4,2016-05-19,False,3.7,2907,116,Drama,25000000,93617009,"The Fighter, is a drama about boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime."
10633,In the Heat of the Night ,1967,4,2016-05-20,False,3.85,539,109,Crime|Drama|Mystery|Thriller,2000000,27379978,An African American detective is asked to investigate a murder in a racist southern town.
277216,Straight Outta Compton,2015,5,2016-05-22,False,3.85,2534,147,Drama|Music,28000000,201634991,"In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today."
158011,The Call,2013,3,2016-05-25,False,3.35,2091,94,Crime|Thriller,13000000,68572378,"Jordan Turner is an experienced 911 operator but when she makes an error in judgment and a call ends badly, Jordan is rattled and unsure if she can continue. But when teenager Casey Welson is abducted in the back of a man's car and calls 911, Jordan is the one called upon to use all of her experience, insights and quick thinking to help Casey escape, and not just to save her, but to make sure the man is brought to justice."
46738,Incendies,2010,4,2016-05-27,False,4.05,1367,130,Drama|War|Mystery,10000000,0,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love."
1246,Rocky Balboa,2006,4,2016-06-03,False,3.35,2191,102,Drama,24000000,155721132,"When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder, Mason Dixon retaliates by challenging Rocky to a nationally televised, 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger and thirty years his junior."
195589,Neighbors,2014,4,2016-06-07,False,3.1,5287,96,Comedy,18000000,270665134,A couple with a newborn baby face unexpected difficulties after they are forced to live next to a fraternity house.
