ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue
1359,American Psycho,2000,4,2016-06-30,False,3.65,5602,102,,7000000,34266564
207,Dead Poets Society,1989,4,2016-07-03,False,4.15,7245,128,,16400000,235860116
164457,Out of the Furnace,2013,3,2016-07-03,False,3.25,1306,116,,22000000,15400000
127380,Finding Dory,2016,4,2016-07-03,True,3.5,9109,97,,200000000,1028570889
6145,Fracture,2007,3,2016-07-10,False,3.65,2341,113,,10000000,91354215
64690,Drive,2011,5,2016-07-14,False,3.8,8331,100,,15000000,78054825
1538,Collateral,2004,4,2016-07-17,False,3.6,3247,120,,65000000,217764291
37903,A Fita Branca,2009,3,2016-07-22,False,3.75,593,144,,15238800,0
13016,Zeitgeist,2007,3,2016-07-25,False,3.5,303,118,,7000000,0
2118,L.A. Confidential,1997,4,2016-07-25,False,3.9,2890,138,,35000000,126216940
10734,Escape From Alcatraz,1979,3,2016-07-31,False,3.75,1590,111,,8000000,43000000
256917,The Water Diviner,2014,3,2016-08-01,False,3.4,806,112,,22500000,15520023
297761,Suicide Squad,2016,3,2016-08-05,True,2.95,15790,123,,175000000,746846894
1480,Touch Of Evil,1958,4,2016-08-09,False,3.9,828,95,,829000,2247465
290250,The Nice Guys,2016,4,2016-08-13,False,3.55,5254,116,,50000000,62788218
968,Dog Day Afternoon,1975,5,2016-08-19,False,3.9,1657,125,,1800000,46665856
11368,Blood Simple ,1984,3,2016-08-20,False,3.7,710,97,,1500000,3851855
321741,Concussion,2015,4,2016-08-21,False,3.55,1789,123,,35000000,50363790
855,Black Hawk Down,2001,4,2016-08-22,False,3.65,3616,145,,92000000,172989651
11336,The Dead Zone,1983,4,2016-08-26,False,3.5,799,103,,10000000,20766616
2252,Eastern Promises,2007,4,2016-08-28,False,3.7,1970,100,,51500000,56106607
153,Lost in Translation,2003,4,2016-08-31,False,3.7,4455,102,,4000000,119723856
192,The Name of The Rose,1986,4,2016-09-01,False,3.7,1863,130,,20000000,7153487
13475,Star Trek,2009,4,2016-09-04,False,3.7,7274,127,,150000000,385680446
11206,Wait Until Dark,1967,5,2016-09-12,False,3.7,275,108,,4000000,11000000
300669,Don't Breathe,2016,5,2016-09-16,True,3.45,4556,89,,9900000,159047649
553,Dogville,2003,4,2016-09-18,False,3.9,1524,178,,10000000,16680836
283366,Miss Peregrine's Home for Peculiar Children,2016,3,2016-10-09,True,3.35,7218,127,,110000000,296482446
45094,Conviction,2010,4,2016-10-16,False,3.55,366,107,,12500000,6732980
335796,Ouija: Origin of Evil,2016,3,2016-10-24,True,3.0,1699,99,,9000000,81705746
12153,White Chicks,2004,3,2016-10-29,False,3.4,2163,109,,37000000,113086475
31011,Mr. Nobody,2009,4,2016-10-31,False,3.95,4163,156,,47000000,2331721
333352,Eye in the Sky,2015,3,2016-12-07,False,3.55,1020,102,,13000000,18704595
284052,Doctor Strange,2016,4,2016-11-03,True,3.7,15395,115,,165000000,677700000
176,Saw,2004,5,2016-11-04,False,3.7,5856,103,,1200000,103911669
